日期,农历,节气,节气2,干支,年柱,月柱,日柱,子（23-1）,丑(1-3),寅(3-5),卯(5-7),辰(7-9),巳(9-11),午(11-13),未(13-15),申(15-17),酉(17-19),戌(19-21),亥(21-23)
1960-01-01,己亥年腊月初三,冬至,距离小寒还有5天,己亥年　丙子月　戊子日,己亥,丙子,戊子,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-01-02,己亥年腊月初四,冬至,距离小寒还有4天,己亥年　丙子月　己丑日,己亥,丙子,己丑,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-01-03,己亥年腊月初五,冬至,距离小寒还有3天,己亥年　丙子月　庚寅日,己亥,丙子,庚寅,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-01-04,己亥年腊月初六,冬至,距离小寒还有2天,己亥年　丙子月　辛卯日,己亥,丙子,辛卯,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-01-05,己亥年腊月初七,冬至,距离小寒还有1天,己亥年　丙子月　壬辰日,己亥,丙子,壬辰,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-01-06,己亥年腊月初八,小寒,距离大寒还有15天,己亥年　丁丑月　癸巳日,己亥,丁丑,癸巳,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-01-07,己亥年腊月初九,小寒,距离大寒还有14天,己亥年　丁丑月　甲午日,己亥,丁丑,甲午,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-01-08,己亥年腊月初十,小寒,距离大寒还有13天,己亥年　丁丑月　乙未日,己亥,丁丑,乙未,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-01-09,己亥年腊月十一,小寒,距离大寒还有12天,己亥年　丁丑月　丙申日,己亥,丁丑,丙申,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-01-10,己亥年腊月十二,小寒,距离大寒还有11天,己亥年　丁丑月　丁酉日,己亥,丁丑,丁酉,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-01-11,己亥年腊月十三,小寒,距离大寒还有10天,己亥年　丁丑月　戊戌日,己亥,丁丑,戊戌,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-01-12,己亥年腊月十四,小寒,距离大寒还有9天,己亥年　丁丑月　己亥日,己亥,丁丑,己亥,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-01-13,己亥年腊月十五,小寒,距离大寒还有8天,己亥年　丁丑月　庚子日,己亥,丁丑,庚子,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-01-14,己亥年腊月十六,小寒,距离大寒还有7天,己亥年　丁丑月　辛丑日,己亥,丁丑,辛丑,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-01-15,己亥年腊月十七,小寒,距离大寒还有6天,己亥年　丁丑月　壬寅日,己亥,丁丑,壬寅,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-01-16,己亥年腊月十八,小寒,距离大寒还有5天,己亥年　丁丑月　癸卯日,己亥,丁丑,癸卯,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-01-17,己亥年腊月十九,小寒,距离大寒还有4天,己亥年　丁丑月　甲辰日,己亥,丁丑,甲辰,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-01-18,己亥年腊月二十,小寒,距离大寒还有3天,己亥年　丁丑月　乙巳日,己亥,丁丑,乙巳,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-01-19,己亥年腊月廿一,小寒,距离大寒还有2天,己亥年　丁丑月　丙午日,己亥,丁丑,丙午,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-01-20,己亥年腊月廿二,小寒,距离大寒还有1天,己亥年　丁丑月　丁未日,己亥,丁丑,丁未,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-01-21,己亥年腊月廿三,大寒,距离立春还有15天,己亥年　丁丑月　戊申日,己亥,丁丑,戊申,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-01-22,己亥年腊月廿四,大寒,距离立春还有14天,己亥年　丁丑月　己酉日,己亥,丁丑,己酉,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-01-23,己亥年腊月廿五,大寒,距离立春还有13天,己亥年　丁丑月　庚戌日,己亥,丁丑,庚戌,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-01-24,己亥年腊月廿六,大寒,距离立春还有12天,己亥年　丁丑月　辛亥日,己亥,丁丑,辛亥,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-01-25,己亥年腊月廿七,大寒,距离立春还有11天,己亥年　丁丑月　壬子日,己亥,丁丑,壬子,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-01-26,己亥年腊月廿八,大寒,距离立春还有10天,己亥年　丁丑月　癸丑日,己亥,丁丑,癸丑,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-01-27,己亥年腊月廿九,大寒,距离立春还有9天,己亥年　丁丑月　甲寅日,己亥,丁丑,甲寅,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-01-28,庚子年正月初一,大寒,距离立春还有8天,庚子年　丁丑月　乙卯日,庚子,丁丑,乙卯,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-01-29,庚子年正月初二,大寒,距离立春还有7天,庚子年　丁丑月　丙辰日,庚子,丁丑,丙辰,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-01-30,庚子年正月初三,大寒,距离立春还有6天,庚子年　丁丑月　丁巳日,庚子,丁丑,丁巳,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-01-31,庚子年正月初四,大寒,距离立春还有5天,庚子年　丁丑月　戊午日,庚子,丁丑,戊午,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-02-01,庚子年正月初五,大寒,距离立春还有4天,庚子年　丁丑月　己未日,庚子,丁丑,己未,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-02-02,庚子年正月初六,大寒,距离立春还有3天,庚子年　丁丑月　庚申日,庚子,丁丑,庚申,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-02-03,庚子年正月初七,大寒,距离立春还有2天,庚子年　丁丑月　辛酉日,庚子,丁丑,辛酉,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-02-04,庚子年正月初八,大寒,距离立春还有1天,庚子年　丁丑月　壬戌日,庚子,丁丑,壬戌,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-02-05,庚子年正月初九,立春,距离雨水还有14天,庚子年　戊寅月　癸亥日,庚子,戊寅,癸亥,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-02-06,庚子年正月初十,立春,距离雨水还有13天,庚子年　戊寅月　甲子日,庚子,戊寅,甲子,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-02-07,庚子年正月十一,立春,距离雨水还有12天,庚子年　戊寅月　乙丑日,庚子,戊寅,乙丑,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1960-02-08,庚子年正月十二,立春,距离雨水还有11天,庚子年　戊寅月　丙寅日,庚子,戊寅,丙寅,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1960-02-09,庚子年正月十三,立春,距离雨水还有10天,庚子年　戊寅月　丁卯日,庚子,戊寅,丁卯,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1960-02-10,庚子年正月十四,立春,距离雨水还有9天,庚子年　戊寅月　戊辰日,庚子,戊寅,戊辰,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1960-02-11,庚子年正月十五,立春,距离雨水还有8天,庚子年　戊寅月　己巳日,庚子,戊寅,己巳,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1960-02-12,庚子年正月十六,立春,距离雨水还有7天,庚子年　戊寅月　庚午日,庚子,戊寅,庚午,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
