日期,农历,节气,节气2,干支,年柱,月柱,日柱,子（23-1）,丑(1-3),寅(3-5),卯(5-7),辰(7-9),巳(9-11),午(11-13),未(13-15),申(15-17),酉(17-19),戌(19-21),亥(21-23)
1980-01-01,己未年冬月十四,冬至,距离小寒还有5天,己未年　丙子月　癸酉日,己未,丙子,癸酉,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1980-01-02,己未年冬月十五,冬至,距离小寒还有4天,己未年　丙子月　甲戌日,己未,丙子,甲戌,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1980-01-03,己未年冬月十六,冬至,距离小寒还有3天,己未年　丙子月　乙亥日,己未,丙子,乙亥,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1980-01-04,己未年冬月十七,冬至,距离小寒还有2天,己未年　丙子月　丙子日,己未,丙子,丙子,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1980-01-05,己未年冬月十八,冬至,距离小寒还有1天,己未年　丙子月　丁丑日,己未,丙子,丁丑,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1980-01-06,己未年冬月十九,小寒,距离大寒还有15天,己未年　丁丑月　戊寅日,己未,丁丑,戊寅,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1980-01-07,己未年冬月二十,小寒,距离大寒还有14天,己未年　丁丑月　己卯日,己未,丁丑,己卯,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1980-01-08,己未年冬月廿一,小寒,距离大寒还有13天,己未年　丁丑月　庚辰日,己未,丁丑,庚辰,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1980-01-09,己未年冬月廿二,小寒,距离大寒还有12天,己未年　丁丑月　辛巳日,己未,丁丑,辛巳,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1980-01-10,己未年冬月廿三,小寒,距离大寒还有11天,己未年　丁丑月　壬午日,己未,丁丑,壬午,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1980-01-11,己未年冬月廿四,小寒,距离大寒还有10天,己未年　丁丑月　癸未日,己未,丁丑,癸未,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1980-01-12,己未年冬月廿五,小寒,距离大寒还有9天,己未年　丁丑月　甲申日,己未,丁丑,甲申,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1980-01-13,己未年冬月廿六,小寒,距离大寒还有8天,己未年　丁丑月　乙酉日,己未,丁丑,乙酉,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1980-01-14,己未年冬月廿七,小寒,距离大寒还有7天,己未年　丁丑月　丙戌日,己未,丁丑,丙戌,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1980-01-15,己未年冬月廿八,小寒,距离大寒还有6天,己未年　丁丑月　丁亥日,己未,丁丑,丁亥,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1980-01-16,己未年冬月廿九,小寒,距离大寒还有5天,己未年　丁丑月　戊子日,己未,丁丑,戊子,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1980-01-17,己未年冬月三十,小寒,距离大寒还有4天,己未年　丁丑月　己丑日,己未,丁丑,己丑,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1980-01-18,己未年腊月初一,小寒,距离大寒还有3天,己未年　丁丑月　庚寅日,己未,丁丑,庚寅,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1980-01-19,己未年腊月初二,小寒,距离大寒还有2天,己未年　丁丑月　辛卯日,己未,丁丑,辛卯,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1980-01-20,己未年腊月初三,小寒,距离大寒还有1天,己未年　丁丑月　壬辰日,己未,丁丑,壬辰,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1980-01-21,己未年腊月初四,大寒,距离立春还有15天,己未年　丁丑月　癸巳日,己未,丁丑,癸巳,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1980-01-22,己未年腊月初五,大寒,距离立春还有14天,己未年　丁丑月　甲午日,己未,丁丑,甲午,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1980-01-23,己未年腊月初六,大寒,距离立春还有13天,己未年　丁丑月　乙未日,己未,丁丑,乙未,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
1980-01-24,己未年腊月初七,大寒,距离立春还有12天,己未年　丁丑月　丙申日,己未,丁丑,丙申,戊子,己丑,庚寅,辛卯,壬辰,癸巳,甲午,乙未,丙申,丁酉,戊戌,己亥
1980-01-25,己未年腊月初八,大寒,距离立春还有11天,己未年　丁丑月　丁酉日,己未,丁丑,丁酉,庚子,辛丑,壬寅,癸卯,甲辰,乙巳,丙午,丁未,戊申,己酉,庚戌,辛亥
1980-01-26,己未年腊月初九,大寒,距离立春还有10天,己未年　丁丑月　戊戌日,己未,丁丑,戊戌,壬子,癸丑,甲寅,乙卯,丙辰,丁巳,戊午,己未,庚申,辛酉,壬戌,癸亥
1980-01-27,己未年腊月初十,大寒,距离立春还有9天,己未年　丁丑月　己亥日,己未,丁丑,己亥,甲子,乙丑,丙寅,丁卯,戊辰,己巳,庚午,辛未,壬申,癸酉,甲戌,乙亥
1980-01-28,己未年腊月十一,大寒,距离立春还有8天,己未年　丁丑月　庚子日,己未,丁丑,庚子,丙子,丁丑,戊寅,己卯,庚辰,辛巳,壬午,癸未,甲申,乙酉,丙戌,丁亥
